DOCULECT;CONCEPT;IPA;VARIANTS
Gilaki;hard;kar;
Judeo-Tati;hard;texdeteher;
Kumzari;hard;iʃk;samn
Modern_Persian;hard;saɣt;
Ormuri;hard;tiŋ;
Ossetic_Iron;hard;xwæbær;xus
Parachi;hard;ʁaweri;
Shughni;hard;xaʃ;qin
Taleshi;hard;ʧətin;səxt
Wakhi;hard;ʃux;tuŋ
Yaghnobi;hard;wazmin;ʃax
Zazaki;hard;sert;wiʃk
SEK ;hard;rɛq;
SK;hard;hɨʃk;
NK;hard;ʕɛʃk;
SWK;hard;sɛrt;
NWK;hard;sɛɹt;
Bakhtiyari;hear;aʔniden;
Balochi;hear;asxanagʔ;asxutʔa
Gilaki;hear;iʔnav;
Judeo-Tati;hear;ʔinire;
Kumzari;hear;ʃnaft;ʃnaw
Luri;hear;ʔonofta;goʔ kerda
Modern_Persian;hear;ʔenidan;
Ormuri;hear;amar;
Ossetic_Iron;hear;xʔusɨn;
Parachi;hear;harw;
Shughni;hear;xin;
Taleshi;hear;mas;
Wakhi;hear;ksɨj;
Waziri;hear;arwedel;worwedel
Yaghnobi;hear;duguʔ;
Zazaki;hear;aʔnawitiʔ;
SEK ;hear;bɨhistɨn;hay ʤe bun
SK;hear;ħɨs;ħɨsandɨn
NK;hear;bɨhistɨn;
SWK;hear;bɨhistɨn;
NWK;hear;bistɨn;
Bakhtiyari;heavy;saʔin;
Balochi;heavy;giran;
Gilaki;heavy;səngin;səxt
Judeo-Tati;heavy;gurund;
Kumzari;heavy;sanʔgi;
Luri;heavy;saʔi;
Modern_Persian;heavy;saʔin;
Ormuri;heavy;wazmʔnd;gran
Ossetic_Iron;heavy;wæzau;
Parachi;heavy;giran;
Shughni;heavy;wazmin;zur
Taleshi;heavy;səxt;ʧətin
Wakhi;heavy;gʔuruʔ;ɣərung
Waziri;heavy;drind;saxt
Yaghnobi;heavy;wazmin;
Zazaki;heavy;ʃenik;giran
SEK ;heavy;gɨran;
SK;heavy;gɨran;
NK;heavy;gɨran;
SWK;heavy;gɨran;
NWK;heavy;gɨran;
Bakhtiyari;hide;xef;bejdar kerden
Balochi;hide;per;poʃenag
Gilaki;hide;ʒuxusanen;ʒa daan
Judeo-Tati;hide;pexni;dorun doʃde
Kumzari;hide;enar;
Modern_Persian;hide;panhan;pinhan
Ormuri;hide;ɣəle;
Ossetic_Iron;hide;æmbæxsɨn;nɨmæxsɨn
Parachi;hide;xaz;
Shughni;hide;pano;
Taleshi;hide;noho;
Yaghnobi;hide;baʤo;ryst
SEK ;hide;ʃartɨnɛwɛ;
SK;hide;vɛʃartɨn;
NK;hide;vɛʃartɨn;
SWK;hide;vɛʃartɨn;
NWK;hide;vɛʃartɨn;
Bakhtiyari;hit/beat;koften;xarden
Balochi;hit/beat;ʔanagʔ;
Gilaki;hit/beat;kʔf;
Judeo-Tati;hit/beat;kuf;
Kumzari;hit/beat;okt;
Luri;hit/beat;zata;
Modern_Persian;hit/beat;zadan;
Ormuri;hit/beat;zan;
Ossetic_Iron;hit/beat;tsævɨn;naemyn
Parachi;hit/beat;ʔan;zarb
Shughni;hit/beat;di;
Taleshi;hit/beat;zan;
Wakhi;hit/beat;di;
Waziri;hit/beat;wahel;takawel
Zazaki;hit/beat;dajiʔ;piro dajiʔ
SEK ;hit/beat;ledan;
SK;hit/beat;lexɨstɨn;
NK;hit/beat;lexɨstɨn;
SWK;hit/beat;lexɨstɨn;
NWK;hit/beat;lexɨstɨn;
